iteracion,T,energia,n
0,5.000000,-0.505859,64
5000,5.000000,-0.496094,64
10000,5.000000,-0.518555,64
15000,5.000000,-0.506836,64
20000,5.000000,-0.446289,64
25000,5.000000,-0.508789,64
30000,5.000000,-0.454102,64
35000,5.000000,-0.498047,64
40000,5.000000,-0.513672,64
45000,5.000000,-0.464844,64
50000,5.000000,-0.470703,64
55000,5.000000,-0.483398,64
60000,5.000000,-0.490234,64
65000,5.000000,-0.458008,64
70000,5.000000,-0.511719,64
75000,5.000000,-0.477539,64
80000,5.000000,-0.463867,64
85000,5.000000,-0.474609,64
90000,5.000000,-0.514648,64
95000,5.000000,-0.503906,64
100000,5.000000,-0.518555,64
105000,5.000000,-0.506836,64
110000,5.000000,-0.558594,64
115000,5.000000,-0.491211,64
120000,5.000000,-0.471680,64
125000,5.000000,-0.478516,64
130000,5.000000,-0.465820,64
135000,5.000000,-0.488281,64
140000,5.000000,-0.461914,64
145000,5.000000,-0.456055,64
150000,5.000000,-0.458984,64
155000,5.000000,-0.448242,64
160000,5.000000,-0.493164,64
165000,5.000000,-0.491211,64
170000,5.000000,-0.471680,64
175000,5.000000,-0.471680,64
180000,5.000000,-0.494141,64
185000,5.000000,-0.538086,64
190000,5.000000,-0.540039,64
195000,5.000000,-0.498047,64
200000,5.000000,-0.498047,64
205000,5.000000,-0.510742,64
210000,5.000000,-0.541016,64
215000,5.000000,-0.474609,64
220000,5.000000,-0.506836,64
225000,5.000000,-0.471680,64
230000,5.000000,-0.502930,64
235000,5.000000,-0.501953,64
240000,5.000000,-0.503906,64
245000,5.000000,-0.477539,64
250000,5.000000,-0.497070,64
255000,5.000000,-0.497070,64
260000,5.000000,-0.513672,64
265000,5.000000,-0.532227,64
270000,5.000000,-0.494141,64
275000,5.000000,-0.452148,64
280000,5.000000,-0.479492,64
285000,5.000000,-0.449219,64
290000,5.000000,-0.512695,64
295000,5.000000,-0.454102,64
300000,5.000000,-0.427734,64
305000,5.000000,-0.507812,64
310000,5.000000,-0.532227,64
315000,5.000000,-0.456055,64
320000,5.000000,-0.471680,64
325000,5.000000,-0.478516,64
330000,5.000000,-0.473633,64
335000,5.000000,-0.477539,64
340000,5.000000,-0.488281,64
345000,5.000000,-0.474609,64
350000,5.000000,-0.513672,64
355000,5.000000,-0.493164,64
360000,5.000000,-0.502930,64
365000,5.000000,-0.500000,64
370000,5.000000,-0.476562,64
375000,5.000000,-0.480469,64
380000,5.000000,-0.470703,64
385000,5.000000,-0.490234,64
390000,5.000000,-0.470703,64
395000,5.000000,-0.493164,64
400000,5.000000,-0.490234,64
405000,5.000000,-0.469727,64
410000,5.000000,-0.486328,64
415000,5.000000,-0.553711,64
420000,5.000000,-0.520508,64
425000,5.000000,-0.429688,64
430000,5.000000,-0.517578,64
435000,5.000000,-0.534180,64
440000,5.000000,-0.465820,64
445000,5.000000,-0.468750,64
450000,5.000000,-0.443359,64
455000,5.000000,-0.481445,64
460000,5.000000,-0.506836,64
465000,5.000000,-0.533203,64
470000,5.000000,-0.498047,64
475000,5.000000,-0.479492,64
480000,5.000000,-0.512695,64
485000,5.000000,-0.491211,64
490000,5.000000,-0.495117,64
495000,5.000000,-0.506836,64
500000,5.000000,-0.489258,64
505000,5.000000,-0.472656,64
510000,5.000000,-0.521484,64
515000,5.000000,-0.524414,64
520000,5.000000,-0.520508,64
525000,5.000000,-0.488281,64
530000,5.000000,-0.531250,64
535000,5.000000,-0.517578,64
540000,5.000000,-0.460938,64
545000,5.000000,-0.501953,64
550000,5.000000,-0.497070,64
555000,5.000000,-0.501953,64
560000,5.000000,-0.526367,64
565000,5.000000,-0.511719,64
570000,5.000000,-0.462891,64
575000,5.000000,-0.459961,64
580000,5.000000,-0.457031,64
585000,5.000000,-0.490234,64
590000,5.000000,-0.504883,64
595000,5.000000,-0.474609,64
600000,5.000000,-0.491211,64
605000,5.000000,-0.490234,64
610000,5.000000,-0.514648,64
615000,5.000000,-0.486328,64
620000,5.000000,-0.491211,64
625000,5.000000,-0.521484,64
630000,5.000000,-0.487305,64
