iteracion,T,magnetizacion,n
0,5.000000,-0.009277,64
5000,5.000000,-0.003906,64
10000,5.000000,-0.012207,64
15000,5.000000,0.013184,64
20000,5.000000,0.000977,64
25000,5.000000,-0.018066,64
30000,5.000000,0.004883,64
35000,5.000000,-0.011719,64
40000,5.000000,-0.025879,64
45000,5.000000,0.012695,64
50000,5.000000,-0.003906,64
55000,5.000000,0.006836,64
60000,5.000000,0.001465,64
65000,5.000000,-0.003906,64
70000,5.000000,-0.007812,64
75000,5.000000,-0.015137,64
80000,5.000000,-0.028320,64
85000,5.000000,0.005371,64
90000,5.000000,0.019043,64
95000,5.000000,0.012695,64
100000,5.000000,0.000488,64
105000,5.000000,0.014648,64
110000,5.000000,0.013184,64
115000,5.000000,0.015625,64
120000,5.000000,0.007324,64
125000,5.000000,-0.026855,64
130000,5.000000,0.000977,64
135000,5.000000,-0.002441,64
140000,5.000000,-0.008789,64
145000,5.000000,-0.003418,64
150000,5.000000,0.006348,64
155000,5.000000,-0.018066,64
160000,5.000000,0.004883,64
165000,5.000000,-0.006836,64
170000,5.000000,-0.000977,64
175000,5.000000,-0.005371,64
180000,5.000000,0.010254,64
185000,5.000000,-0.015625,64
190000,5.000000,-0.001953,64
195000,5.000000,0.020020,64
200000,5.000000,-0.023438,64
205000,5.000000,-0.012207,64
210000,5.000000,0.023438,64
215000,5.000000,0.042969,64
220000,5.000000,0.018066,64
225000,5.000000,-0.012207,64
230000,5.000000,0.000488,64
235000,5.000000,-0.009277,64
240000,5.000000,0.014160,64
245000,5.000000,0.011719,64
250000,5.000000,0.013184,64
255000,5.000000,0.000488,64
260000,5.000000,0.028320,64
265000,5.000000,0.002441,64
270000,5.000000,-0.001953,64
275000,5.000000,0.025879,64
280000,5.000000,0.004395,64
285000,5.000000,0.001465,64
290000,5.000000,-0.000488,64
295000,5.000000,0.021973,64
300000,5.000000,0.004395,64
305000,5.000000,0.008789,64
310000,5.000000,-0.002930,64
315000,5.000000,-0.018066,64
320000,5.000000,0.001465,64
325000,5.000000,0.004395,64
330000,5.000000,-0.002930,64
335000,5.000000,0.004395,64
340000,5.000000,0.004883,64
345000,5.000000,-0.001465,64
350000,5.000000,-0.029297,64
355000,5.000000,-0.005859,64
360000,5.000000,-0.012207,64
365000,5.000000,-0.001953,64
370000,5.000000,-0.001953,64
375000,5.000000,-0.015137,64
380000,5.000000,0.014648,64
385000,5.000000,0.034668,64
390000,5.000000,-0.000977,64
395000,5.000000,0.010254,64
400000,5.000000,-0.010254,64
405000,5.000000,-0.015137,64
410000,5.000000,0.020020,64
415000,5.000000,0.005859,64
420000,5.000000,-0.019043,64
425000,5.000000,0.011719,64
430000,5.000000,0.003418,64
435000,5.000000,-0.008789,64
440000,5.000000,0.005859,64
445000,5.000000,-0.007324,64
450000,5.000000,-0.005371,64
455000,5.000000,0.003418,64
460000,5.000000,-0.019043,64
465000,5.000000,0.013672,64
470000,5.000000,0.032715,64
475000,5.000000,0.013672,64
480000,5.000000,0.011719,64
485000,5.000000,0.011719,64
490000,5.000000,0.003906,64
495000,5.000000,-0.009277,64
500000,5.000000,0.023926,64
505000,5.000000,0.005371,64
510000,5.000000,-0.004395,64
515000,5.000000,-0.004395,64
520000,5.000000,-0.000977,64
525000,5.000000,0.001953,64
530000,5.000000,-0.017578,64
535000,5.000000,0.008301,64
540000,5.000000,0.027832,64
545000,5.000000,0.019043,64
550000,5.000000,0.025879,64
555000,5.000000,0.022461,64
560000,5.000000,-0.010254,64
565000,5.000000,-0.001953,64
570000,5.000000,0.009766,64
575000,5.000000,-0.002930,64
580000,5.000000,0.027832,64
585000,5.000000,-0.000488,64
590000,5.000000,0.009277,64
595000,5.000000,-0.008301,64
600000,5.000000,0.018555,64
605000,5.000000,0.007324,64
610000,5.000000,0.011230,64
615000,5.000000,0.000488,64
620000,5.000000,0.000977,64
625000,5.000000,0.024902,64
630000,5.000000,-0.017578,64
635000,5.000000,-0.006836,64
640000,5.000000,-0.012695,64
645000,5.000000,-0.012207,64
650000,5.000000,-0.009766,64
655000,5.000000,0.004395,64
660000,5.000000,-0.000977,64
665000,5.000000,0.002441,64
670000,5.000000,0.010254,64
675000,5.000000,-0.026367,64
680000,5.000000,-0.006836,64
685000,5.000000,0.046875,64
690000,5.000000,0.019043,64
695000,5.000000,-0.002930,64
700000,5.000000,0.020996,64
705000,5.000000,0.001465,64
710000,5.000000,-0.011230,64
715000,5.000000,-0.003418,64
720000,5.000000,-0.007324,64
725000,5.000000,-0.024414,64
730000,5.000000,-0.020508,64
735000,5.000000,0.011230,64
740000,5.000000,-0.014648,64
745000,5.000000,-0.014160,64
750000,5.000000,-0.007812,64
755000,5.000000,-0.004395,64
760000,5.000000,-0.008301,64
765000,5.000000,0.000488,64
770000,5.000000,-0.018555,64
775000,5.000000,-0.003418,64
780000,5.000000,0.011719,64
785000,5.000000,0.018066,64
790000,5.000000,-0.011230,64
795000,5.000000,0.016113,64
800000,5.000000,0.002930,64
805000,5.000000,0.004395,64
810000,5.000000,-0.015625,64
815000,5.000000,-0.008301,64
820000,5.000000,-0.014160,64
825000,5.000000,0.010254,64
830000,5.000000,0.014648,64
835000,5.000000,0.010742,64
840000,5.000000,0.021973,64
845000,5.000000,-0.007812,64
850000,5.000000,-0.020996,64
855000,5.000000,0.001953,64
860000,5.000000,0.000977,64
865000,5.000000,-0.001953,64
870000,5.000000,-0.025391,64
875000,5.000000,0.021973,64
880000,5.000000,0.015625,64
885000,5.000000,0.026855,64
890000,5.000000,0.004395,64
895000,5.000000,0.007324,64
900000,5.000000,0.000000,64
905000,5.000000,-0.005371,64
910000,5.000000,0.003418,64
915000,5.000000,0.022461,64
920000,5.000000,-0.010742,64
925000,5.000000,-0.003906,64
930000,5.000000,-0.005371,64
935000,5.000000,0.002441,64
940000,5.000000,0.012695,64
945000,5.000000,0.000977,64
950000,5.000000,-0.006836,64
955000,5.000000,0.008301,64
960000,5.000000,-0.006348,64
965000,5.000000,0.024902,64
970000,5.000000,0.001465,64
975000,5.000000,0.020020,64
980000,5.000000,0.016113,64
985000,5.000000,-0.002441,64
990000,5.000000,0.001465,64
995000,5.000000,-0.008301,64
1000000,5.000000,-0.006836,64
1005000,5.000000,0.008789,64
1010000,5.000000,0.008301,64
1015000,5.000000,-0.007812,64
1020000,5.000000,0.004883,64
1025000,5.000000,-0.006836,64
1030000,5.000000,-0.010254,64
1035000,5.000000,0.003906,64
1040000,5.000000,0.005371,64
1045000,5.000000,0.025879,64
1050000,5.000000,0.025391,64
1055000,5.000000,0.020508,64
1060000,5.000000,0.010254,64
1065000,5.000000,0.002930,64
1070000,5.000000,0.032227,64
1075000,5.000000,-0.000488,64
1080000,5.000000,0.005371,64
1085000,5.000000,-0.006836,64
1090000,5.000000,-0.001953,64
1095000,5.000000,0.028809,64
1100000,5.000000,-0.000488,64
1105000,5.000000,-0.022461,64
1110000,5.000000,-0.004395,64
1115000,5.000000,0.002930,64
1120000,5.000000,0.001953,64
1125000,5.000000,0.012207,64
1130000,5.000000,-0.006836,64
1135000,5.000000,0.000977,64
1140000,5.000000,-0.025391,64
1145000,5.000000,-0.005859,64
1150000,5.000000,-0.010254,64
1155000,5.000000,0.002930,64
1160000,5.000000,-0.000488,64
1165000,5.000000,0.005859,64
1170000,5.000000,-0.004395,64
1175000,5.000000,-0.009766,64
1180000,5.000000,-0.016113,64
1185000,5.000000,0.003418,64
1190000,5.000000,-0.000488,64
1195000,5.000000,-0.003906,64
1200000,5.000000,0.007324,64
1205000,5.000000,0.026855,64
1210000,5.000000,0.021973,64
1215000,5.000000,-0.018555,64
1220000,5.000000,0.008301,64
1225000,5.000000,0.010742,64
1230000,5.000000,-0.000977,64
1235000,5.000000,-0.004883,64
1240000,5.000000,0.016602,64
1245000,5.000000,0.007812,64
1250000,5.000000,-0.003418,64
1255000,5.000000,-0.013184,64
1260000,5.000000,-0.013672,64
1265000,5.000000,0.003906,64
1270000,5.000000,-0.001465,64
1275000,5.000000,0.001953,64
1280000,5.000000,0.004883,64
1285000,5.000000,-0.038574,64
1290000,5.000000,0.000488,64
1295000,5.000000,-0.010254,64
1300000,5.000000,0.016113,64
1305000,5.000000,-0.020020,64
1310000,5.000000,-0.019043,64
1315000,5.000000,-0.007812,64
1320000,5.000000,-0.025391,64
1325000,5.000000,-0.000488,64
1330000,5.000000,0.012207,64
1335000,5.000000,0.004395,64
1340000,5.000000,0.010254,64
1345000,5.000000,0.017090,64
1350000,5.000000,-0.007812,64
