iteracion,T,energia
10000,5.000000,114876.000000
20000,5.000000,115140.000000
30000,5.000000,115092.000000
40000,5.000000,114972.000000
50000,5.000000,114960.000000
60000,5.000000,114992.000000
70000,5.000000,114896.000000
80000,5.000000,114860.000000
90000,5.000000,114700.000000
100000,5.000000,114756.000000
110000,5.000000,114792.000000
120000,5.000000,114852.000000
130000,5.000000,114764.000000
140000,5.000000,114868.000000
150000,5.000000,114732.000000
160000,5.000000,114776.000000
170000,5.000000,114672.000000
180000,5.000000,114668.000000
190000,5.000000,114784.000000
200000,5.000000,114780.000000
210000,5.000000,114684.000000
220000,5.000000,114660.000000
230000,5.000000,114572.000000
240000,5.000000,114580.000000
250000,5.000000,114512.000000
260000,5.000000,114400.000000
270000,5.000000,114452.000000
280000,5.000000,114440.000000
290000,5.000000,114480.000000
300000,5.000000,114360.000000
310000,5.000000,114228.000000
320000,5.000000,114412.000000
330000,5.000000,114296.000000
340000,5.000000,114220.000000
350000,5.000000,114252.000000
360000,5.000000,114188.000000
370000,5.000000,114436.000000
380000,5.000000,114392.000000
390000,5.000000,114312.000000
400000,5.000000,114060.000000
410000,5.000000,114196.000000
420000,5.000000,114112.000000
430000,5.000000,114116.000000
440000,5.000000,114120.000000
450000,5.000000,113984.000000
460000,5.000000,114008.000000
470000,5.000000,114096.000000
480000,5.000000,113852.000000
490000,5.000000,113928.000000
500000,5.000000,114064.000000
510000,5.000000,113972.000000
520000,5.000000,113748.000000
530000,5.000000,113880.000000
540000,5.000000,113912.000000
550000,5.000000,114008.000000
560000,5.000000,113956.000000
570000,5.000000,113760.000000
580000,5.000000,113784.000000
590000,5.000000,113840.000000
600000,5.000000,113960.000000
610000,5.000000,113700.000000
620000,5.000000,113736.000000
630000,5.000000,113768.000000
640000,5.000000,113664.000000
650000,5.000000,113784.000000
660000,5.000000,113556.000000
670000,5.000000,113712.000000
680000,5.000000,113576.000000
690000,5.000000,113620.000000
700000,5.000000,113812.000000
710000,5.000000,113592.000000
720000,5.000000,113576.000000
730000,5.000000,113528.000000
740000,5.000000,113456.000000
750000,5.000000,113324.000000
760000,5.000000,113392.000000
770000,5.000000,113436.000000
780000,5.000000,113596.000000
790000,5.000000,113380.000000
800000,5.000000,113476.000000
810000,5.000000,113324.000000
820000,5.000000,113372.000000
830000,5.000000,113460.000000
840000,5.000000,113464.000000
850000,5.000000,113276.000000
860000,5.000000,113324.000000
870000,5.000000,113464.000000
880000,5.000000,113256.000000
890000,5.000000,113432.000000
900000,5.000000,113152.000000
910000,5.000000,113284.000000
920000,5.000000,113112.000000
930000,5.000000,112992.000000
940000,5.000000,113220.000000
950000,5.000000,113364.000000
960000,5.000000,113092.000000
