T,magnetizacion
1.000000,0.473633
1.000000,0.473633
1.000000,0.473633
1.000000,0.472656
1.000000,0.472656
1.000000,0.473633
1.000000,0.474609
1.000000,0.475586
1.000000,0.476562
1.000000,0.477539
1.000000,0.478516
1.000000,0.477539
1.000000,0.478516
1.000000,0.479492
1.000000,0.478516
1.000000,0.479492
1.000000,0.479492
1.000000,0.479492
1.000000,0.480469
1.000000,0.480469
1.000000,0.481445
1.000000,0.481445
1.000000,0.482422
1.000000,0.482422
1.000000,0.483398
1.000000,0.483398
1.000000,0.483398
1.000000,0.483398
1.000000,0.483398
1.000000,0.484375
1.000000,0.484375
1.000000,0.484375
1.000000,0.485352
1.000000,0.486328
1.000000,0.487305
1.000000,0.488281
1.000000,0.489258
1.000000,0.490234
1.000000,0.490234
1.000000,0.490234
1.000000,0.491211
1.000000,0.492188
1.000000,0.492188
1.000000,0.493164
1.000000,0.494141
1.000000,0.494141
1.000000,0.495117
1.000000,0.496094
1.000000,0.497070
1.000000,0.498047
1.000000,0.498047
1.000000,0.499023
1.000000,0.500000
1.000000,0.499023
1.000000,0.500000
1.000000,0.500977
1.000000,0.501953
1.000000,0.502930
1.000000,0.503906
1.000000,0.504883
1.000000,0.505859
1.000000,0.505859
1.000000,0.506836
1.000000,0.507812
1.000000,0.508789
1.000000,0.509766
1.000000,0.510742
1.000000,0.510742
1.000000,0.510742
1.000000,0.511719
1.000000,0.512695
1.000000,0.512695
1.000000,0.512695
1.000000,0.512695
1.000000,0.512695
1.000000,0.513672
1.000000,0.513672
1.000000,0.514648
1.000000,0.515625
1.000000,0.515625
1.000000,0.514648
1.000000,0.514648
1.000000,0.515625
1.000000,0.515625
1.000000,0.515625
1.000000,0.515625
1.000000,0.515625
1.000000,0.516602
1.000000,0.517578
1.000000,0.518555
1.000000,0.518555
1.000000,0.518555
1.000000,0.519531
1.000000,0.520508
1.000000,0.520508
1.000000,0.521484
1.000000,0.521484
1.000000,0.522461
1.000000,0.523438
1.000000,0.524414
1.000000,0.525391
1.000000,0.525391
1.000000,0.526367
1.000000,0.527344
1.000000,0.527344
1.000000,0.526367
1.000000,0.527344
1.000000,0.527344
1.000000,0.528320
1.000000,0.527344
1.000000,0.527344
1.000000,0.527344
1.000000,0.527344
1.000000,0.527344
1.000000,0.528320
1.000000,0.528320
1.000000,0.528320
1.000000,0.528320
1.000000,0.529297
1.000000,0.530273
1.000000,0.530273
1.000000,0.531250
1.000000,0.532227
1.000000,0.533203
1.000000,0.533203
1.000000,0.534180
1.000000,0.533203
1.000000,0.534180
1.000000,0.535156
1.000000,0.535156
1.000000,0.536133
1.000000,0.537109
1.000000,0.537109
1.000000,0.537109
1.000000,0.537109
1.000000,0.537109
1.000000,0.537109
1.000000,0.538086
1.000000,0.537109
1.000000,0.538086
1.000000,0.538086
1.000000,0.539062
1.000000,0.539062
1.000000,0.540039
1.000000,0.541016
1.000000,0.541992
1.000000,0.541992
1.000000,0.541992
1.000000,0.542969
1.000000,0.541992
1.000000,0.541016
1.000000,0.541016
1.000000,0.541016
1.000000,0.541016
1.000000,0.541992
1.000000,0.542969
1.000000,0.542969
1.000000,0.543945
1.000000,0.544922
1.000000,0.544922
1.000000,0.544922
1.000000,0.544922
1.000000,0.544922
1.000000,0.545898
1.000000,0.545898
1.000000,0.545898
1.000000,0.546875
1.000000,0.546875
1.000000,0.547852
1.000000,0.548828
1.000000,0.547852
1.000000,0.548828
1.000000,0.549805
1.000000,0.549805
1.000000,0.550781
1.000000,0.550781
1.000000,0.549805
1.000000,0.548828
1.000000,0.549805
1.000000,0.550781
1.000000,0.551758
1.000000,0.551758
1.000000,0.552734
1.000000,0.553711
1.000000,0.554688
1.000000,0.554688
1.000000,0.555664
1.000000,0.556641
1.000000,0.557617
1.000000,0.558594
1.000000,0.558594
1.000000,0.559570
1.000000,0.559570
1.000000,0.559570
1.000000,0.559570
1.000000,0.559570
1.000000,0.559570
1.000000,0.560547
1.000000,0.561523
1.000000,0.561523
1.000000,0.562500
1.000000,0.562500
1.000000,0.563477
1.000000,0.564453
1.000000,0.565430
1.000000,0.565430
1.000000,0.566406
1.000000,0.566406
1.000000,0.567383
1.000000,0.568359
1.000000,0.569336
1.000000,0.570312
1.000000,0.570312
1.000000,0.569336
1.000000,0.570312
1.000000,0.571289
1.000000,0.572266
1.000000,0.573242
1.000000,0.574219
1.000000,0.574219
1.000000,0.573242
1.000000,0.573242
1.000000,0.574219
1.000000,0.575195
1.000000,0.575195
1.000000,0.576172
1.000000,0.576172
1.000000,0.577148
1.000000,0.578125
1.000000,0.579102
1.000000,0.579102
1.000000,0.580078
1.000000,0.581055
1.000000,0.582031
1.000000,0.582031
1.000000,0.582031
1.000000,0.583008
1.000000,0.583008
1.000000,0.583984
1.000000,0.583984
1.000000,0.583984
1.000000,0.584961
1.000000,0.585938
1.000000,0.585938
1.000000,0.586914
1.000000,0.586914
1.000000,0.586914
1.000000,0.587891
1.000000,0.587891
1.000000,0.587891
1.000000,0.587891
1.000000,0.588867
1.000000,0.588867
1.000000,0.589844
1.000000,0.589844
1.000000,0.590820
1.000000,0.591797
1.000000,0.591797
1.000000,0.592773
1.000000,0.592773
1.000000,0.593750
1.000000,0.594727
1.000000,0.594727
1.000000,0.594727
1.000000,0.595703
1.000000,0.595703
1.000000,0.595703
1.000000,0.595703
1.000000,0.595703
1.000000,0.594727
1.000000,0.595703
1.000000,0.595703
1.000000,0.595703
1.000000,0.595703
1.000000,0.596680
1.000000,0.596680
1.000000,0.596680
1.000000,0.597656
1.000000,0.598633
1.000000,0.597656
1.000000,0.596680
1.000000,0.597656
1.000000,0.597656
1.000000,0.597656
1.000000,0.597656
1.000000,0.598633
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.599609
1.000000,0.600586
1.000000,0.599609
1.000000,0.600586
1.000000,0.600586
1.000000,0.600586
1.000000,0.600586
1.000000,0.600586
1.000000,0.600586
1.000000,0.600586
1.000000,0.601562
1.000000,0.602539
1.000000,0.602539
1.000000,0.603516
1.000000,0.604492
1.000000,0.604492
1.000000,0.604492
1.000000,0.605469
1.000000,0.605469
1.000000,0.605469
1.000000,0.605469
1.000000,0.605469
1.000000,0.605469
1.000000,0.606445
1.000000,0.607422
1.000000,0.608398
1.000000,0.608398
1.000000,0.608398
1.000000,0.608398
1.000000,0.609375
1.000000,0.609375
1.000000,0.609375
1.000000,0.610352
1.000000,0.611328
1.000000,0.610352
1.000000,0.609375
1.000000,0.610352
1.000000,0.610352
1.000000,0.610352
1.000000,0.610352
1.000000,0.610352
1.000000,0.611328
1.000000,0.611328
1.000000,0.611328
1.000000,0.612305
1.000000,0.611328
1.000000,0.610352
1.000000,0.609375
1.000000,0.610352
1.000000,0.611328
1.000000,0.612305
1.000000,0.612305
1.000000,0.612305
1.000000,0.612305
1.000000,0.612305
1.000000,0.613281
1.000000,0.614258
1.000000,0.615234
1.000000,0.616211
1.000000,0.615234
1.000000,0.615234
1.000000,0.615234
1.000000,0.616211
1.000000,0.617188
1.000000,0.618164
1.000000,0.618164
1.000000,0.618164
1.000000,0.618164
1.000000,0.619141
1.000000,0.620117
1.000000,0.621094
1.000000,0.622070
1.000000,0.623047
1.000000,0.623047
1.000000,0.624023
1.000000,0.624023
1.000000,0.624023
1.000000,0.624023
1.000000,0.624023
1.000000,0.623047
1.000000,0.624023
1.000000,0.625000
1.000000,0.625000
1.000000,0.625000
1.000000,0.625000
1.000000,0.625977
1.000000,0.625000
1.000000,0.625000
1.000000,0.625000
1.000000,0.625977
1.000000,0.625977
1.000000,0.625000
1.000000,0.625000
1.000000,0.625977
1.000000,0.625977
1.000000,0.626953
1.000000,0.626953
1.000000,0.627930
1.000000,0.626953
1.000000,0.627930
1.000000,0.627930
1.000000,0.627930
1.000000,0.627930
1.000000,0.627930
1.000000,0.627930
1.000000,0.627930
1.000000,0.627930
1.000000,0.628906
1.000000,0.628906
1.000000,0.628906
1.000000,0.629883
1.000000,0.630859
1.000000,0.630859
1.000000,0.630859
1.000000,0.629883
1.000000,0.630859
1.000000,0.629883
1.000000,0.630859
1.000000,0.629883
1.000000,0.629883
1.000000,0.630859
1.000000,0.631836
1.000000,0.632812
1.000000,0.632812
1.000000,0.633789
1.000000,0.634766
1.000000,0.634766
1.000000,0.635742
1.000000,0.635742
1.000000,0.635742
1.000000,0.635742
1.000000,0.635742
1.000000,0.636719
1.000000,0.636719
1.000000,0.636719
1.000000,0.636719
1.000000,0.636719
1.000000,0.636719
1.000000,0.637695
1.000000,0.637695
1.000000,0.637695
1.000000,0.638672
1.000000,0.637695
1.000000,0.637695
1.000000,0.637695
1.000000,0.637695
1.000000,0.638672
1.000000,0.638672
1.000000,0.639648
1.000000,0.639648
1.000000,0.639648
1.000000,0.640625
1.000000,0.640625
1.000000,0.640625
1.000000,0.641602
1.000000,0.641602
1.000000,0.640625
1.000000,0.640625
1.000000,0.641602
1.000000,0.640625
1.000000,0.640625
1.000000,0.641602
1.000000,0.641602
1.000000,0.641602
1.000000,0.641602
1.000000,0.640625
1.000000,0.640625
1.000000,0.640625
1.000000,0.639648
1.000000,0.639648
1.000000,0.640625
1.000000,0.640625
1.000000,0.641602
1.000000,0.642578
1.000000,0.642578
1.000000,0.642578
1.000000,0.642578
1.000000,0.643555
1.000000,0.643555
1.000000,0.644531
1.000000,0.644531
1.000000,0.644531
1.000000,0.643555
1.000000,0.644531
1.000000,0.644531
1.000000,0.644531
